cedula,nombre_completo,rol
"123456789","Juan Pérez López","Jefe de Cultivo"
"234567890","María García Rodríguez","Supervisor de Riego"
"345678901","Carlos Martínez Sánchez","Tractorista"
"456789012","Ana Fernández Díaz","Técnico Agrónomo"
"567890123","Luis Jiménez Ruiz","Operario de Cosecha"
"678901234","Elena Castro Martín","Almacenista"
"789012345","Pedro Gómez Hernández","Encargado de Fertilización"
"890123456","Sofía Ramírez González","Asistente Administrativo"
"901234567","Jorge Navarro Moreno","Vigilante"
"012345678","Lucía Díaz Blanco","Operario de Siembra"
"112233445","Ricardo Alvarado Vargas","Operario de Cosecha"
"223344556","Valeria Mora Castillo","Operario de Siembra"
"334455667","Diego Ramírez Quesada","Tractorista"
"445566778","Isabel Solano Brenes","Supervisor de Riego"
"556677889","Tomás Céspedes Marín","Encargado de Fertilización"
"1","Eyden Su","Admin"
